                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7366,                 2.0096,                 2.0983,                0.62858,                0.57265,                0.62686,                0.41376,                 1.2852,                 1.9519,                 1.8279,              0.0033325,              0.0033325,              0.0033325
                      2,                 0.8248,                0.86101,                 1.1846,                0.65083,                0.63359,                0.68408,                0.46836,                 1.1329,                 1.6182,                  1.704,              0.0065338,              0.0065338,              0.0065338
                      3,                0.65375,                0.61455,                 1.0589,                0.69172,                0.66962,                  0.708,                0.49327,                 1.0641,                 1.4261,                 1.6596,              0.0096032,              0.0096032,              0.0096032
                      4,                0.54808,                0.45869,                  0.995,                0.68528,                0.66553,                0.69917,                0.50205,                0.99204,                 1.4713,                 1.5914,               0.009406,               0.009406,               0.009406
                      5,                0.47836,                0.37692,                0.95861,                 0.6956,                0.67479,                0.70241,                 0.5191,                 0.9578,                 1.4402,                  1.552,               0.009406,               0.009406,               0.009406
                      6,                0.43927,                0.33736,                0.93851,                0.69423,                0.68928,                0.71247,                0.53037,                0.94814,                 1.3348,                 1.5714,               0.009208,               0.009208,               0.009208
                      7,                0.41537,                0.31421,                0.92621,                0.69427,                0.69127,                 0.7052,                0.52849,                0.92528,                 1.3669,                 1.5392,                0.00901,                0.00901,                0.00901
                      8,                0.39627,                0.29748,                0.91711,                0.68857,                 0.7045,                0.71843,                0.53636,                0.91527,                 1.3577,                 1.5315,               0.008812,               0.008812,               0.008812
                      9,                0.38057,                0.28332,                0.90866,                0.70453,                0.67744,                0.71441,                0.53384,                0.92461,                 1.3779,                 1.5498,               0.008614,               0.008614,               0.008614
                     10,                0.36822,                0.27355,                0.90233,                0.67743,                0.69932,                0.71093,                 0.5347,                0.91198,                 1.4152,                  1.539,               0.008416,               0.008416,               0.008416
