                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7612,                 2.0248,                  2.146,                0.85839,                0.75609,                0.83253,                0.65196,                0.94154,                 1.0049,                 1.3822,              0.0033324,              0.0033324,              0.0033324
                      2,                 0.8339,                0.87979,                 1.2023,                0.90961,                0.83291,                0.89973,                0.75899,                0.69037,                0.66312,                  1.147,              0.0065337,              0.0065337,              0.0065337
                      3,                0.65684,                0.62912,                 1.0648,                0.95252,                 0.8672,                0.93208,                0.81327,                0.56725,                0.47968,                  1.054,              0.0096031,              0.0096031,              0.0096031
                      4,                0.54081,                0.45789,                0.99418,                0.95474,                 0.8923,                0.94872,                0.84569,                0.49816,                0.38295,                 1.0129,               0.009406,               0.009406,               0.009406
                      5,                0.47012,                0.37061,                0.95438,                0.96109,                0.90409,                0.95631,                0.85791,                0.47333,                0.34062,                0.99764,               0.009406,               0.009406,               0.009406
                      6,                0.42937,                0.32932,                0.93329,                0.97002,                  0.903,                0.96272,                0.86698,                0.45537,                0.31668,                 0.9886,               0.009208,               0.009208,               0.009208
                      7,                0.40402,                0.30465,                0.92103,                0.96699,                0.91612,                0.96605,                0.87279,                0.44866,                0.29846,                0.98436,                0.00901,                0.00901,                0.00901
                      8,                0.38458,                0.28661,                0.91029,                0.97002,                0.91695,                0.96798,                0.87379,                0.44417,                  0.293,                0.98459,               0.008812,               0.008812,               0.008812
                      9,                0.37044,                0.27492,                0.90381,                0.96868,                0.92304,                 0.9688,                0.87772,                 0.4369,                0.28516,                0.97861,               0.008614,               0.008614,               0.008614
                     10,                0.35847,                0.26425,                0.89689,                0.96085,                0.92833,                0.97013,                0.88049,                0.43123,                 0.2791,                0.97712,               0.008416,               0.008416,               0.008416
                     11,                0.34929,                0.25611,                0.89378,                0.96917,                0.92737,                0.97241,                0.88255,                0.42975,                0.26967,                0.97908,               0.008218,               0.008218,               0.008218
                     12,                0.34177,                0.25107,                0.89046,                0.96277,                0.93771,                0.97323,                0.88346,                0.43006,                0.26649,                0.98028,                0.00802,                0.00802,                0.00802
                     13,                0.33407,                0.24463,                0.88585,                0.96421,                0.94005,                0.97472,                0.88537,                0.42741,                0.26183,                0.97965,               0.007822,               0.007822,               0.007822
                     14,                0.32658,                0.23783,                0.88231,                0.96939,                0.93856,                0.97594,                 0.8863,                0.42645,                0.25854,                 0.9799,               0.007624,               0.007624,               0.007624
                     15,                0.32137,                0.23364,                0.87938,                0.96974,                0.93783,                0.97593,                0.88673,                0.42402,                 0.2574,                0.97921,               0.007426,               0.007426,               0.007426
                     16,                0.31569,                0.22932,                0.87695,                0.97103,                0.93629,                0.97624,                0.88683,                0.42294,                0.25603,                0.98005,               0.007228,               0.007228,               0.007228
                     17,                0.31023,                0.22643,                0.87443,                0.97264,                0.93563,                 0.9766,                 0.8876,                0.42312,                0.25486,                0.98112,                0.00703,                0.00703,                0.00703
                     18,                0.30568,                0.22079,                0.87197,                0.97011,                0.93888,                0.97706,                 0.8883,                 0.4228,                0.25277,                0.98183,               0.006832,               0.006832,               0.006832
                     19,                0.30032,                 0.2173,                0.86892,                0.96746,                 0.9433,                0.97714,                0.88845,                0.42239,                0.25187,                0.98213,               0.006634,               0.006634,               0.006634
                     20,                 0.2974,                0.21542,                0.86799,                0.96995,                0.94233,                0.97724,                0.88871,                0.42234,                0.25052,                0.98246,               0.006436,               0.006436,               0.006436
                     21,                0.29242,                0.21165,                0.86541,                0.96979,                0.94406,                0.97777,                0.88909,                0.42247,                0.24994,                0.98296,               0.006238,               0.006238,               0.006238
                     22,                0.28988,                0.21011,                0.86471,                0.97048,                0.94313,                0.97792,                0.88961,                0.42262,                0.24873,                0.98338,                0.00604,                0.00604,                0.00604
                     23,                0.28731,                0.20769,                0.86354,                0.96748,                0.94722,                0.97799,                0.88952,                0.42288,                0.24826,                 0.9837,               0.005842,               0.005842,               0.005842
                     24,                0.28234,                0.20406,                0.86129,                0.96927,                0.94674,                0.97833,                0.88948,                0.42294,                0.24684,                0.98404,               0.005644,               0.005644,               0.005644
                     25,                0.27997,                0.20274,                0.86011,                0.96953,                0.94741,                0.97844,                0.88972,                  0.423,                0.24643,                0.98456,               0.005446,               0.005446,               0.005446
                     26,                0.27661,                0.19958,                0.85794,                0.96988,                0.94615,                 0.9787,                0.88967,                0.42355,                0.24639,                 0.9852,               0.005248,               0.005248,               0.005248
                     27,                0.27352,                0.19778,                0.85698,                0.96682,                0.94936,                0.97896,                0.88995,                0.42389,                 0.2456,                0.98577,                0.00505,                0.00505,                0.00505
                     28,                 0.2708,                0.19563,                0.85604,                0.96691,                0.95042,                0.97917,                0.88993,                0.42471,                0.24518,                0.98632,               0.004852,               0.004852,               0.004852
                     29,                0.26644,                0.19191,                0.85383,                0.96663,                0.95152,                0.97927,                0.88996,                0.42533,                0.24492,                0.98712,               0.004654,               0.004654,               0.004654
                     30,                0.26521,                0.19144,                 0.8531,                0.96639,                0.95056,                0.97933,                 0.8899,                0.42585,                 0.2444,                0.98797,               0.004456,               0.004456,               0.004456
                     31,                 0.2627,                0.18926,                0.85177,                0.96563,                0.95387,                0.97943,                0.89054,                0.42662,                0.24402,                0.98911,               0.004258,               0.004258,               0.004258
                     32,                0.25773,                0.18617,                0.85031,                0.96503,                0.95435,                0.97953,                0.89097,                0.42739,                0.24346,                0.99001,                0.00406,                0.00406,                0.00406
                     33,                 0.2553,                0.18419,                0.84885,                0.96505,                0.95449,                0.97986,                0.89056,                0.42787,                0.24236,                0.99085,               0.003862,               0.003862,               0.003862
                     34,                0.25362,                0.18253,                0.84862,                0.96607,                0.95327,                0.98007,                0.89084,                0.42852,                0.24153,                0.99159,               0.003664,               0.003664,               0.003664
                     35,                0.25074,                0.18076,                0.84642,                0.96469,                0.95406,                0.98027,                0.89117,                0.42915,                0.24147,                0.99253,               0.003466,               0.003466,               0.003466
                     36,                0.24779,                0.17822,                0.84503,                0.96592,                0.95436,                 0.9806,                0.89154,                0.42964,                 0.2409,                0.99328,               0.003268,               0.003268,               0.003268
                     37,                0.24593,                 0.1767,                0.84476,                0.96653,                0.95307,                0.98069,                0.89139,                0.43025,                0.24014,                0.99432,                0.00307,                0.00307,                0.00307
